station_id,q_meas_max,n_meas,n_good,q_meas_max_good
01606500,130000.0,245,197,13400.0
01632000,63400.0,665,360,5540.0
01632900,10600.0,444,401,3360.0
01634500,20300.0,708,588,14100.0
01638480,23800.0,369,314,13200.0
01639500,22800.0,535,454,3850.0
01644000,78000.0,727,492,48000.0
01664000,42700.0,580,422,41500.0
01666500,17200.0,638,556,9010.0
01667500,58000.0,755,567,23600.0
01669000,1330.0,578,470,1330.0
01669520,2150.0,218,156,2150.0
02011400,30000.0,280,130,1290.0
02013000,29000.0,691,441,3380.0
02014000,11200.0,634,451,4310.0
02015700,22800.0,453,393,4060.0
